RegioNaam,RegioCode,Amsterdamsecode,Partij,AantalZetels,Website,Facebook,Engine,Feed,Full_content
"Gooise Meren","G1942","10281","Goois Democratisch Platform (GDP)","4",,"https://www.facebook.com/gooisplatform/posts",,,
"Gooise Meren","G1942","10281","Hart voor BNM (BussumNaardenMuiden)","4","https://taxigooisemeren.nl/",,"wordpress","https://taxigooisemeren.nl/feed/",false
"Gooise Meren","G1942","10281","Behoud Oud Valkeveen","","http://www.oudvalkeveen.nl/",,"powered",,
"Gorinchem","G0512","10942","Stadsbelang","5","https://stadsbelanggorinchem.nl/","https://www.facebook.com/Stadsbelang-Gorinchem-445391065664156/","wordpress",,
"Gorinchem","G0512","10942","DemocratenGorinchem","4","http://www.democratengorinchem.nl/","https://www.facebook.com/democratengorinchem/","wordpress","http://www.democratengorinchem.nl/feed/",false
"Gorinchem","G0512","10942","ChristenUnie-SGP","2","https://gorinchem.christenunie.nl/",,"procurios","https://gorinchem.christenunie.nl/l/rss/collect/news/43688.42426",true
"Gorinchem","G0512","10942","Gorcum Actief","1","http://www.gorcumactief.nl/","https://nl-nl.facebook.com/gactief/","wordpress","http://www.gorcumactief.nl/feed/",false
"Gorinchem","G0512","10942","JEZUS LEEFT","","https://www.jezusleeft.nl/","https://nl-nl.facebook.com/pages/category/Political-Party/Jezus-leeft-Gorinchem-1480948905465659/",,,
"Gouda","G0513","10302","Gouda Positief","3","https://www.goudapositief.nl/",,"wordpress","https://www.goudapositief.nl/feed/",false
"Gouda","G0513","10302","Gouda's 50+ partij","3","http://www.g50.goudsweb.nl/","https://www.facebook.com/Goudas-50-Partij-564723033601546/about",,,
"Gouda","G0513","10302","Gemeentebelangen Gouda","2","https://www.gemeentebelangengouda.nl/","https://www.facebook.com/gemeentebelangengouda","wordpress","https://www.gemeentebelangengouda.nl/feed/",false
"Gouda","G0513","10302","JEZUS LEEFT","",,,,,
"Grave","G0786","10165","Lokale Partij Grave","6","http://www.lpg-grave.nl/",,"joomla!","http://www.lpg-grave.nl/index.php?format=feed&type=rss",true
"Grave","G0786","10165","Keerpunt 2010","2","https://www.jacquesleurs.nl/",,"wordpress","https://www.jacquesleurs.nl/feed/",false
"Grave","G0786","10165","Verenigd Progressief Grave","2","http://www.vpgrave.nl/","https://www.facebook.com/VPGrave/notes",,,
"Gulpen-Wittem","G1729","11032","PRO Gulpen-Wittem","5","https://www.pro-gulpenwittem.nl/","https://www.facebook.com/PROGulpenWittem/",,"https://www.pro-gulpenwittem.nl/rss/blog",true
"Gulpen-Wittem","G1729","11032","Balans Gulpen-Wittem","3","http://www.balansgulpenwittem.nl/","https://www.facebook.com/balansgulpenwittem/","wordpress",,
"Gulpen-Wittem","G1729","11032","Fractie Franssen","3","https://www.fractiefranssen.nl/","https://www.facebook.com/fractiefranssen/",,,
"Haaksbergen","G0158","11435","Dé Actieve Partij Haaksbergen (DAP)","4","https://deactievepartij.com/","https://www.facebook.com/deactievepartij/","wordpress.com","https://deactievepartij.com/feed/",false
"Haaksbergen","G0158","11435","Leefbaar Haaksbergen","2","http://www.leefbaarhaaksbergen.nl/",,"leefbaar","https://www.leefbaarhaaksbergen.nl/feed/",true
"Haaksbergen","G0158","11435","G.G.H.","1",,"https://www.facebook.com/GGHHaaksbergen/",,,
"Haaren","G0788","11155","Progressief '96","5","http://www.progressief96.nl/",,,,
"Haaren","G0788","11155","Samenwerking '95","4","http://samenwerking95.nl/",,"wordpress","http://samenwerking95.nl/feed/",true
"Haarlem","G0392","10357","OPHaarlem","2","http://ophaarlem.nl/",,"wordpress","http://ophaarlem.nl/home/feed/",false
"Haarlem","G0392","10357","Trots op Nederland (TROTS)","2","http://haarlem.trotsnl.nl/",,,,
"Haarlem","G0392","10357","Actiepartij","1","http://www.actiepartij.nl/","https://www.facebook.com/de.actiepartij.haarlem/","one.com",,
"Haarlem","G0392","10357","Hart voor Haarlem","1","https://www.hart-haarlem.nl/",,"spanz",,
"Haarlem","G0392","10357","Jouw Haarlem","1",,"https://www.facebook.com/pages/category/Political-Party/Jouw-Haarlem-169877687093564/",,,
"Halderberge","G1655","10397","Lokaal Halderberge","5","http://lokaalhalderberge.nl/","https://www.facebook.com/lokaalhalderberge","wordpress","http://lokaalhalderberge.nl/feed/",true
"Halderberge","G1655","10397","WOS","3","https://woshalderberge.nl/","https://www.facebook.com/LokalepartijHalderberge/",,,
"Halderberge","G1655","10397","Progressief Halderb. (PvdA , D66, GROENLINKS)","2","https://www.progressiefhalderberge.nl/",,"wordpress","https://www.progressiefhalderberge.nl/feed/",true
"Halderberge","G1655","10397","Voor De Gemeenschap","1","http://www.vdghalderberge.nl/","https://www.facebook.com/VDG-Halderberge-438902286487760/",,,
"Hardenberg","G0160","10174","OpKoers.nu","5","https://www.opkoers.nu/","https://www.facebook.com/Opkoers.nu/","primasite.nl",,
"Harderwijk","G0243","10786","Harderwijk Anders","6","https://www.harderwijkanders.nl/","https://www.facebook.com/HarderwijkAnders/","powered","https://www.harderwijkanders.nl/feed/",true
"Harderwijk","G0243","10786","GEMEENTEBELANG HARDERWIJK/HIERDEN","1","http://www.gbhh.nl/","https://www.facebook.com/Gemeentebelang-Harderwijk-Hierden-251881194976087/","wordpress","http://www.gbhh.nl/?feed=rss2",false
"Harderwijk","G0243","10786","Blanco lijst 9","",,,,,
"Harderwijk","G0243","10786","Wij Harderwijk","","https://iotharderwijk.nl/","https://www.facebook.com/Wijharderwijkhierden/",,,
"Hardinxveld-Giessendam","G0523","10167","Transparante partij voor Algemeen Belang(T@B)","5","http://www.tabhg.nl/",,"wordpress","http://www.tabhg.nl/feed/",false
"Hardinxveld-Giessendam","G0523","10167","JEZUS LEEFT","","https://www.jezusleeft.nl/","https://www.facebook.com/gemhg/videos/voorlopige-uitslag-na-5-stembureaus-tb-5-sgp-4-christenunie-4-pvda-2-cda-2-jezus/1984419565152601/",,,
"Harlingen","G0072","10909","Harlinger Belang","2","https://www.harlingerbelang.nl/","https://www.facebook.com/harlingerbelang/","wordpress","https://www.harlingerbelang.nl/feed/",true
"Harlingen","G0072","10909","HOOP","1",,"https://www.facebook.com/harlingerhoop/",,,
"Harlingen","G0072","10909","WAD'N PARTIJ Harlingen","1","https://www.wadnpartij.nl/","https://www.facebook.com/pages/category/Political-Party/Wadn-Partij-Harlingen-1376908719244411/","wordpress","https://www.wadnpartij.nl/feed/",true
"Heemskerk","G0396","10679","Heemskerk Lokaal","5","http://heemskerklokaal.nl/","https://www.facebook.com/HeemskerkLokaal/",,,
"Heemskerk","G0396","10679","Liberaal Heemskerk","4","http://liberaalheemskerk.nl/","https://www.facebook.com/LiberaalHeemskerk/","powered","http://liberaalheemskerk.nl/feed/",false
"Heemstede","G0397","11288","Heemsteeds Burger Belang","7","https://www.heemsteedsburgerbelang.nl/","https://www.facebook.com/HBBHeemstede/","joomla!","https://www.heemsteedsburgerbelang.nl/?format=feed&type=rss",true
"Heerde","G0246","10291","ChristenUnie-SGP","4","https://heerde.christenunie.nl/","https://www.facebook.com/cusgpheerde/","procurios","https://heerde.christenunie.nl/l/rss/collect/news/595646.19612",true
"Heerde","G0246","10291","Gemeentebelang-Boeren Partij (GBP)","3","http://www.gbpheerde.nl/","https://www.facebook.com/GemeentebelangBoerenpartijGemHeerde/","joomla!","http://www.gbpheerde.nl/index.php?format=feed&type=rss",true
"Heerde","G0246","10291","Democraten 66 (D66)/GROENLINKS","2","https://heerde.d66.nl/","https://www.facebook.com/d66groenlinksHeerde/","wordpress",,
"Heerenveen","G0074","10680","FNP","3",,,,,
"Heerenveen","G0074","10680","GB Heerenveen","3","http://www.gemeentebelangenheerenveen.nl/","https://www.facebook.com/gbheerenveen/","joomla!","http://www.gemeentebelangenheerenveen.nl/?format=feed&type=rss",true
"Heerenveen","G0074","10680","Blanco lijst 9","1","https://vrouwenscheerenveen.nl/",,,"https://vrouwenscheerenveen.nl/feed/",true
"Heerhugowaard","G0398","10752","Heerhugowaardse Onafhankelijke Partij (HOP)","7","http://www.hopheerhugowaard.nl/","https://www.facebook.com/HOPhhw/","wordpress","http://www.hopheerhugowaard.nl/feed/",false
"Heerhugowaard","G0398","10752","Senioren HHW","5","https://seniorenheerhugowaard.nl/",,,"https://seniorenheerhugowaard.nl/feed/",true
"Heerhugowaard","G0398","10752","Nederland Duurzaam","2","https://www.partijnederlandduurzaam.nl/","https://www.facebook.com/NDHHW/","wordpress","https://www.partijnederlandduurzaam.nl/feed/",true
"Heerhugowaard","G0398","10752","Partij voor Iedereen","","https://www.partijnederlandduurzaam.nl/","https://www.facebook.com/pages/category/Community/Partij-voor-iedereen-157620144386887/","wordpress","https://www.partijnederlandduurzaam.nl/feed/",true
"Heerhugowaard","G0398","10752","PP Recht & Eerlijk","","https://eerlijkmetrecht.nl/","https://www.facebook.com/voxweb.nl/",,,
"Heerlen","G0917","10902","OPH (Ouderen Partij Heerlen)","7","http://ouderenpartijheerlen.nl/","https://www.facebook.com/ouderenpartijheerlen/","wordpress","http://ouderenpartijheerlen.nl/feed/",true
"Heerlen","G0917","10902","Hart-Leers","3","https://hart-leers.nl/","https://www.facebook.com/hart.leers/","wordpress","https://hart-leers.nl/feed/",false
"Heerlen","G0917","10902","Partij Hoensbroeks Belang","3",,"https://www.facebook.com/PartijHoensbroeksBelang/",,,
"Heerlen","G0917","10902","Stadspartij","2",,"https://www.facebook.com/stadspartijheerlen/",,,
"Heerlen","G0917","10902","Blanco lijst 11","","http://www.lijstblanco.nl/",,,,
"Heeze-Leende","G1658","10462","Lokaal Heeze-Leende","4","http://www.lokaal-heeze-leende.nl/","https://www.facebook.com/LOKAALheeze",,,
"Heeze-Leende","G1658","10462","Algemeen belang Heeze-Leende (AbHL)","2","http://www.abhl.nl/",,,,
"Heeze-Leende","G1658","10462","Partij Voor Oud en Jong-GroenLinks","2","https://www.pvoj-groenlinks.nl/","https://www.facebook.com/PVOJ.groenlinks/",,,
